iter	Passed	Remaining
0	57	57789
1	58	28984
2	58	19378
3	58	14573
4	58	11693
5	58	9772
6	59	8398
7	59	7367
8	59	6567
9	59	5932
10	60	5411
11	60	4974
12	60	4604
13	60	4290
14	61	4015
15	61	3776
16	61	3565
17	62	3385
18	62	3215
19	62	3066
20	62	2929
21	63	2807
22	63	2691
23	63	2585
24	63	2487
25	64	2399
26	64	2315
27	64	2238
28	64	2166
29	64	2099
30	65	2036
31	65	1976
32	65	1923
33	65	1871
34	66	1822
35	66	1775
36	66	1731
37	66	1689
38	66	1650
39	67	1612
40	67	1576
41	67	1542
42	67	1510
43	68	1479
44	68	1449
45	68	1421
46	68	1393
47	68	1367
48	69	1344
49	69	1320
50	69	1297
51	69	1274
52	70	1252
53	70	1232
54	70	1212
55	70	1193
56	71	1174
57	71	1156
58	71	1139
59	71	1122
60	71	1106
61	72	1090
62	72	1075
63	72	1060
64	72	1046
65	72	1031
66	73	1018
67	73	1005
68	73	992
69	73	979
70	74	968
71	74	956
72	74	944
73	74	933
74	74	922
75	75	911
76	75	901
77	75	891
78	75	881
79	75	871
80	76	862
81	76	853
82	76	843
83	76	834
84	76	825
85	76	817
86	77	809
87	77	801
88	77	793
89	77	785
90	77	778
91	78	771
92	78	763
93	78	756
94	78	749
95	78	742
96	79	735
97	79	729
98	79	723
99	79	717
100	79	711
101	80	706
102	80	700
103	80	694
104	80	688
105	80	682
106	81	677
107	81	671
108	81	666
109	81	661
110	81	655
111	82	650
112	82	645
113	82	640
114	82	636
115	82	631
116	82	626
117	83	621
118	83	617
119	83	613
120	83	609
121	83	604
122	84	600
123	84	596
124	84	592
125	84	588
126	84	583
127	85	579
128	85	576
129	85	572
130	85	568
131	85	565
132	86	561
133	86	557
134	86	554
135	86	550
136	86	547
137	87	543
138	87	540
139	87	536
140	87	533
141	87	529
142	87	526
143	88	523
144	88	520
145	88	517
146	88	514
147	88	511
148	89	509
149	89	506
150	89	503
151	89	500
152	89	497
153	90	494
154	90	492
155	90	489
156	90	486
157	90	484
158	91	482
159	91	479
160	91	476
161	91	473
162	91	471
163	92	469
164	92	467
165	92	464
166	92	462
167	92	460
168	93	457
169	93	455
170	93	453
171	93	451
172	93	449
173	94	446
174	94	444
175	94	442
176	94	440
177	95	438
178	95	436
179	95	434
180	95	432
181	95	430
182	96	428
183	96	426
184	96	424
185	96	422
186	96	421
187	97	419
188	97	417
189	97	415
190	97	413
191	97	411
192	98	409
193	98	408
194	98	406
195	98	404
196	98	402
197	99	401
198	99	399
199	99	397
200	99	396
201	99	394
202	100	392
203	100	391
204	100	389
205	100	387
206	100	386
207	101	384
208	101	383
209	101	381
210	101	380
211	101	378
212	102	377
213	102	375
214	102	374
215	102	372
216	102	371
217	103	369
218	103	368
219	103	367
220	103	365
221	103	364
222	104	362
223	104	361
224	104	359
225	104	358
226	104	357
227	105	355
228	105	354
229	105	353
230	105	351
231	105	350
232	106	349
233	106	347
234	106	346
235	106	345
236	106	343
237	107	342
238	107	341
239	107	340
240	107	338
241	107	337
242	108	336
243	108	335
244	108	334
245	108	332
246	108	331
247	108	330
248	109	329
249	109	328
250	109	326
251	109	325
252	109	324
253	110	323
254	110	322
255	110	321
256	110	320
257	111	319
258	111	318
259	111	317
260	111	315
261	111	314
262	111	313
263	112	312
264	112	311
265	112	310
266	112	309
267	112	308
268	113	307
269	113	306
270	113	305
271	113	304
272	113	303
273	114	302
274	114	301
275	114	300
276	114	299
277	114	298
278	115	297
279	115	296
280	115	295
281	115	294
282	115	293
283	116	292
284	116	291
285	116	290
286	116	290
287	116	289
288	117	288
289	117	287
290	117	286
291	117	285
292	117	284
293	118	283
294	118	282
295	118	282
296	118	281
297	119	280
298	119	279
299	119	278
300	119	277
301	119	277
